# Id	FilePath			R	G	B
[TEXTURES]
0	Resources/bbox.png	255	255	0
1	Resources/item.png	255	255	0
10	Resources/sophia_die.png	176	0	248
20	Resources/sophia.png	255	0	255
30	Resources/jssophia.png	255	0	255
40	Resources/Enemy/enemies.png	255	0	255
11	Resources/Scene/area_1.jpg	255	0	255
50	Resources/HealthBar.png	255	255	255
60	Resources/item2.png		255	255	0
# id	left	top	right	bottom	texture_id
[SPRITES]
##============ BIG  SOPHIA ===================
##right
#idle
1	137	74	161	106	20
2	167	74	191	106	20
3	195	74	219	106	20
#left
#idle
4	103	74	127	106	20
5	73	74	97	106	20
6	45	74	69	106	20
#top
7	108	39	128	71	20
#idle
8	82	39	102	71	20
9	56	39	76	71	20
#bot
10	133	39	153	71	20
#idle
11	158	39	178	71	20
12	182	39	202	71	20
#die
13	79	105	103	134	20
14	107	105	130	134	20
15	134	105	158	134	20
16	162	105	186	134	20
##============ SMALL SOPHIA ==================
#idle right
20	136	0	146	17	20
#walk right
#jump
21	149	0	159	17	20
22	175	0	185	17	20
23	162	0	172	17	20

#crawl
24	202	7	218	17	20
25	218	7	234	17	20
#die
26	136	20	150	36	20
27	190	22	206	36	20
28	172	20	186	36	20
29	153	22	169	36	20
30	208	22	224	36	20
##============ SOPHIA JASON =================
# idle right
10001	146	5	172	23	30
10002	178	5	204	23	30
10003	211	5	237	23	30
10004	243	30	269	47	30
10005	146	30	172	47	30
10006	178	30	204	47	30
10007	211	5	237	23	30
10008	242	5	268	23	30
10009	146	5	172	23	30
10010	178	30	204	47	30
10011	210	30	236	47	30
10012	243	30	269	47	30
# idle left
11001	109	5	135	23	30
11002	77	5	103	23	30
11003	44	5	70	23	30
11004	12	30	38	47	30
11005	109	30	135	47	30
11006	77	30	103	47	30
11007	44	5	70	23	30
11008	13	5	39	23	30
11009	109	5	135	23	30
11010	77	30	103	47	30
11011	45	30	71	47	30
11012	12	30	38	47	30
# idle jump up idle right
10101	146	130	172	151	30	
# idle jump up walking right
10102	178	130	204	151	30	
10103	211	130	237	151	30
10104	245	130	271	151	30
# idle jump up idle left
11101	109	130	135	151	30
# idle jump up walking left
11102	77	130	103	151	30
11103	44	130	70	151	30
11104	10	130	39	151	30
# idle jump down idle right
10201	146	56	172	72	30
# idle jump down walking right
10202	177	56	203	72	30
10203	211	56	237	72	30
10204	243	56	269	72	30
# idle jump down idle left
11201	109	56	135	72	30
# idle jump down walking left
11202	78	56	104	72	30
11203	44	56	70	72	30
11204	12	56	38	72	30
#gun flip rigtht
10301	146	247	171	280	30
10302	174	247	199	280	30
10303	207	247	232	280	30
10304	242	247	267	280	30
10305	146	283	172	317	30
10306	176	283	202	317	30
10307	207	283	233	317	30
10308	242	283	268	317	30
#gun flip left
11301	110	247	135	280	30
11302	82	247	105	280	30
