# Id	FilePath			R	G	B
[TEXTURES]
40	Resource/Enemy/enemies.png	255	0	255
50	Resource/item.png	255	255	0
# id	left	top	right	bottom	texture_id

[OBJECTS]
1	0	480	22	512	64
1	0	416	22	96	64
1	96	432	22	32	16
1	288	416	22	64	64
1	256	432	22	32	16
1	160	352	22	64	64
1	160	288	22	64	64
1	288	352	22	128	64
1	128	368	22	32	16
1	224	368	22	32	16
1	416	368	22	32	16
1	448	432	22	32	16
1	448	304	22	32	16
1	416	240	22	32	16
1	448	176	22	32	16
1	416	112	22	32	16
1	0	224	22	416	64
1	0	160	22	96	64
1	96	176	22	32	16
1	128	112	22	32	16
1	160	96	22	256	64
1	352	160	22	64	64
1	0	-1	22	512	32

1	0	-1	22	32	543
1	480	-1	22	32	543
